Date,Snow Water Equivalent (in) Start of Day Values,Change In Snow Water Equivalent (in),Snow Depth (in) Start of Day Values,Change In Snow Depth (in),Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF)
2014-02-13,16,0.2,74,1,21.7,30.4,16.2
2014-02-14,16.5,0.5,74,0,19.8,25.2,9.9
2014-02-15,17.2,0.7,75,1,25.5,28,22.6
2014-02-16,17.3,0.1,73,-2,24.4,34.5,8.6
2014-02-17,17.5,0.2,73,0,17.6,30.9,3
2014-02-18,17.6,0.1,72,-1,23.7,31.5,19.9
2014-02-19,17.6,0,71,-1,18.9,31.3,0
2014-02-20,17.8,0.2,72,1,0.1,7.9,-4.4
2014-02-21,17.9,0.1,72,0,10,16.9,4.3
2014-02-22,18,0.1,71,-1,12.4,17.4,9.1
2014-02-23,18.3,0.3,75,4,19,30.6,12
2014-02-24,18.4,0.1,73,-2,23.9,34.3,17.2
2014-02-25,18.4,0,71,-2,25,34.2,16.5
2014-02-26,18.5,0.1,70,-1,19.4,30.6,11.7
2014-02-27,18.5,0,70,0,23.2,30.6,18.7
2014-02-28,18.6,0.1,71,1,21.9,31.6,17.1
2014-03-01,18.9,0.3,75,4,22.3,27.3,17.2
2014-03-02,19.8,0.9,78,3,18.3,29.1,10.2
2014-03-03,19.9,0.1,79,1,19.8,31.3,12.6
2014-03-04,19.9,0,78,-1,21.6,33.8,13.5
2014-03-05,20.1,0.2,78,0,18.3,28.8,11.1
2014-03-06,20.1,0,78,0,27.1,41,18
2014-03-07,20.2,0.1,76,-2,19.6,26.6,12.2
2014-03-08,20.6,0.4,79,3,14.4,31.6,3.4
2014-03-09,20.6,0,79,0,27,43.7,12.7
2014-03-10,20.7,0.1,77,-2,31.3,48.2,21.6
2014-03-11,20.7,0,75,-2,12.2,26.4,-3.6
2014-03-12,21.2,0.5,81,6,13.5,33.4,-3.1
2014-03-13,21.3,0.1,79,-2,20.3,32.2,9.7
2014-03-14,21.3,0,77,-2,21,37,6.1
2014-03-15,21.3,0,76,-1,13.3,20.7,7
2014-03-16,21.5,0.2,79,3,19.9,34,8.4
2014-03-17,21.6,0.1,77,-2,22.6,36.5,4.6
2014-03-18,21.9,0.3,80,3,7.9,18.9,-1.5
2014-03-19,22,0.1,80,0,13.5,27.7,0
2014-03-20,22.1,0.1,78,-2,21.9,36,7.5
2014-03-21,22.1,0,77,-1,22.1,35.1,12.4
2014-03-22,22.2,0.1,76,-1,16,25.3,3.7
2014-03-23,22.4,0.2,78,2,18,31.5,1.9
2014-03-24,22.5,0.1,77,-1,20.3,30.7,12.7
2014-03-25,22.5,0,77,0,28,45.7,16
2014-03-26,22.5,0,75,-2,25,37.2,18.7
2014-03-27,23,0.5,80,5,16.9,31.6,10.4
2014-03-28,23.6,0.6,87,7,14.4,25.2,9.5
2014-03-29,23.8,0.2,86,-1,23.4,37.8,7.9
2014-03-30,23.9,0.1,83,-3,27.5,39.2,15.1
2014-03-31,24.2,0.3,84,1,17.4,32.5,11.1
2014-04-01,24.4,0.2,85,1,21.9,29.3,15.8
2014-04-02,24.5,0.1,84,-1,21.6,32.9,13.8
2014-04-03,24.6,0.1,85,1,14,25.3,3.7
2014-04-04,25.1,0.5,87,2,17.2,32.5,3.6
2014-04-05,25.2,0.1,86,-1,20.7,34.3,11.7
2014-04-06,25.2,0,83,-3,18.9,31.3,14.4
2014-04-07,25.2,0,83,0,19,26.4,12.9
2014-04-08,25.9,0.7,95,12,27.5,41.9,17.2
2014-04-09,25.9,0,89,-6,34,47.8,21
2014-04-10,25.7,-0.2,84,-5,34.5,47.8,25.9
2014-04-11,25.8,0.1,82,-2,36.7,50.7,25.3
2014-04-12,25.8,0,79,-3,34.7,49.6,26.2
2014-04-13,25.8,0,79,0,14.9,26.4,-1.1
2014-04-14,26,0.2,89,10,9.1,22.1,-5.1
2014-04-15,26.7,0.7,86,-3,25.2,38.3,8.6
2014-04-16,26.9,0.2,83,-3,22.6,37,11.7
2014-04-17,26.9,0,83,0,28.4,44.2,12.4
2014-04-18,26.7,-0.2,80,-3,36.5,53.2,23.5
2014-04-19,26.3,-0.4,78,-2,32.5,48,23.7
2014-04-20,26.6,0.3,82,4,32.5,47.8,23.2
2014-04-21,26.6,0,80,-2,34.3,51.1,21.6
2014-04-22,26.4,-0.2,76,-4,38.7,51.4,27.9
2014-04-23,26.1,-0.3,75,-1,29.1,42.4,12.6
2014-04-24,26.1,0,75,0,26.6,44.1,10.2
2014-04-25,26.1,0,74,-1,35.8,49.3,20.7
2014-04-26,25.9,-0.2,73,-1,33.1,46.2,21
2014-04-27,25.8,-0.1,73,0,18.7,25.9,13.6
2014-04-28,26.2,0.4,79,6,14.4,27,11.1
2014-04-29,26.6,0.4,83,4,15.8,25.9,11.1
2014-04-30,27.1,0.5,84,1,17.6,30.6,11.7
2014-05-01,27.3,0.2,81,-3,21.7,32.9,11.3
2014-05-02,27.3,0,79,-2,34.3,49.5,21.4
2014-05-03,27.2,-0.1,75,-4,41.2,56.5,29.3
2014-05-04,27,-0.2,73,-2,42.8,53.8,30
2014-05-05,26.3,-0.7,71,-2,41.9,53.1,34.3
2014-05-06,26.1,-0.2,70,-1,38.7,53.1,28
2014-05-07,25.6,-0.5,68,-2,32.5,45.7,20.7
2014-05-08,25.2,-0.4,67,-1,24.6,39.2,16.3
2014-05-09,25.6,0.4,69,2,27.1,40.1,19.2
2014-05-10,26,0.4,73,4,31.6,42.3,22.5
2014-05-11,26.2,0.2,73,0,20.7,30.6,11.8
2014-05-12,26.8,0.6,77,4,15.3,25.3,9.5
2014-05-13,26.9,0.1,74,-3,15.6,32,2.8
2014-05-14,27,0.1,71,-3,21.6,36.3,7.2
2014-05-15,27.5,0.5,75,4,30.4,41.4,22.1
2014-05-16,27.8,0.3,78,3,33.4,46.2,28.2
2014-05-17,28.3,0.5,81,3,37.2,50.2,28
2014-05-18,28.3,0,76,-5,45.3,57.6,34.3
2014-05-19,28.2,-0.1,70,-6,43.7,57.2,29.7
2014-05-20,27.4,-0.8,66,-4,42.6,57.7,27.1
2014-05-21,26.9,-0.5,64,-2,38.8,54.9,27.9
2014-05-22,26.8,-0.1,61,-3,37.8,52,29.7
2014-05-23,26.5,-0.3,61,0,40.1,54.1,32.2
2014-05-24,26.9,0.4,59,-2,37.8,53.6,31.3
2014-05-25,28.2,1.3,62,3,31.5,42.1,23.9
2014-05-26,28.5,0.3,63,1,38.1,55.9,24.1
2014-05-27,28,-0.5,60,-3,43.9,57.7,33.1
2014-05-28,27.8,-0.2,59,-1,48.6,63.7,34.7
2014-05-29,27.8,0,59,0,44.8,62.6,35.2
2014-05-30,27.3,-0.5,58,-1,38.5,48.4,31.3
2014-05-31,27.5,0.2,58,0,45.5,59,31.8
2014-06-01,26.5,-1,56,-2,44.1,57.2,32.4
2014-06-02,25.4,-1.1,54,-2,45.3,60.8,30
2014-06-03,23.8,-1.6,51,-3,48.9,58.8,35.1
2014-06-04,22.6,-1.2,48,-3,46,62.6,31.8
2014-06-05,20.9,-1.7,45,-3,42.8,59.2,30
2014-06-06,19.4,-1.5,43,-2,43.7,59,32.4
2014-06-07,18.5,-0.9,41,-2,43.9,59.7,32.7
2014-06-08,17.5,-1,38,-3,34.9,51.3,24.8
2014-06-09,15.9,-1.6,35,-3,35.6,49.5,18
2014-06-10,15.1,-0.8,33,-2,45,57,32.5
2014-06-11,13.8,-1.3,30,-3,44.2,56.8,33.8
2014-06-12,12.5,-1.3,28,-2,43.7,57.6,27.9
2014-06-13,11.2,-1.3,25,-3,49.5,60.6,39
2014-06-14,8.9,-2.3,21,-4,41.2,55,29.8
2014-06-15,6.7,-2.2,16,-5,38.8,50.9,28.8
2014-06-16,5.9,-0.8,13,-3,46.4,56.7,32.9
2014-06-17,4.1,-1.8,9,-4,48,58.5,38.7
2014-06-18,2,-2.1,4,-5,40.6,54.1,30.9
2014-06-19,1.3,-0.7,3,-1,41.2,54.3,29.5
2014-06-20,0.8,-0.5,2,-1,46.4,62.1,30.2
2014-06-21,0.5,-0.3,1,-1,46.4,58.8,36.9
2014-06-22,0,-0.5,0,-1,42.3,53.4,34.2
2014-06-23,0,0,0,0,43.9,57.2,34.3
2014-06-24,0,0,0,0,45.3,59.4,36.3
2014-06-25,0,0,0,0,49.6,63.5,37
2014-06-26,0,0,0,0,50.4,63.1,38.3
2014-06-27,0,0,0,0,43.2,54.9,33.4
2014-06-28,0,0,0,0,43.2,55.2,32.5
2014-06-29,0,0,0,0,54.1,64.4,44.1
2014-06-30,0,0,0,0,51.8,64.2,34.9
2014-07-01,0,0,0,0,45.9,61.7,30.9
2014-07-02,0,0,0,0,48.2,65.5,33.8
2014-07-03,0,0,0,0,51.6,66.9,40.3
2014-07-04,0,0,0,0,48.6,63.3,38.1
2014-07-05,0,0,0,0,50.4,64.8,38.5
2014-07-06,0,0,0,0,53.2,66.6,43
2014-07-07,0,0,0,0,56.1,68.9,43.5
2014-07-08,0,0,0,0,52.5,68.2,39.4
2014-07-09,0,0,0,0,53.2,68,42.3
2014-07-10,0,0,0,0,50,67.8,41.9
2014-07-11,0,0,0,0,51.6,65.1,43.7
2014-07-12,0,0,0,0,51.4,64.2,41.7
2014-07-13,0,0,0,0,51.8,65.8,40.1
2014-07-14,0,0,0,0,51.1,67.1,41.4
2014-07-15,0,0,0,0,49.5,63.7,40.6
2014-07-16,0,0,0,0,46.8,60.6,36.1
2014-07-17,0,0,0,0,47.1,61.3,36
2014-07-18,0,0,0,0,49.6,62.8,38.7
2014-07-19,0,0,0,0,53.8,67.6,42.4
2014-07-20,0,0,0,0,52.7,69.6,40.5
2014-07-21,0,0,0,0,54,68,42.1
2014-07-22,0,0,0,0,56.1,71.2,44.1
2014-07-23,0,0,0,0,54.9,69.6,43.9
2014-07-24,0,0,0,0,55.8,69.1,47.7
2014-07-25,0,0,0,0,53.2,67.8,44.1
2014-07-26,0,0,0,0,50.4,65.3,40.3
2014-07-27,0,0,0,0,50,66.9,40.6
2014-07-28,0,0,0,0,49.3,63,42.4
2014-07-29,0,0,0,0,47.3,55.9,40.8
2014-07-30,0,0,0,0,42.1,49.6,39.6
2014-07-31,0,0,0,0,42.3,46.4,37.8
2014-08-01,0,0,0,0,40.8,52.5,33.1
2014-08-02,0,0,0,0,45.3,65.1,31.3
2014-08-03,0,0,0,0,49.8,64.9,38.5
2014-08-04,0,0,0,0,47.3,58.8,41.9
2014-08-05,0,0,0,0,46.4,58.6,39.2
2014-08-06,0,0,0,0,47.3,61,38.8
2014-08-07,0,0,0,0,47.5,61.2,37.4
2014-08-08,0,0,0,0,47.5,62.2,36.3
2014-08-09,0,0,0,0,44.6,58.6,36.3
2014-08-10,0,0,0,0,43.5,58.8,36
2014-08-11,0,0,0,0,46.8,63.9,34.9
2014-08-12,0,0,0,0,51.1,64.4,39.9
2014-08-13,0,0,0,0,49.1,61.7,41.9
2014-08-14,0,0,0,0,46.4,57.4,38.8
2014-08-15,0,0,0,0,48,60.4,38.7
2014-08-16,0,0,0,0,49.3,63.7,39.6
2014-08-17,0,0,0,0,50.2,63.9,40.8
2014-08-18,0,0,0,0,49.1,62.1,39.9
2014-08-19,0,0,0,0,52.2,63,41.7
2014-08-20,0,0,0,0,47.8,60.6,40.1
2014-08-21,0,0,0,0,45.7,59.4,37.9
2014-08-22,0,0,0,0,44.1,51.6,38.1
2014-08-23,0,0,0,0,40.8,52.2,34.3
2014-08-24,0,0,0,0,43.9,55.9,35.1
2014-08-25,0,0,0,0,45.3,59.2,37.8
2014-08-26,0,0,0,0,44.2,57.7,36.7
2014-08-27,0,0,0,0,40.5,53.1,34.5
2014-08-28,0,0,0,0,38.3,41.4,34.9
2014-08-29,0,0,0,0,42.4,55.2,36.1
2014-08-30,0,0,0,0,44.4,60.8,36.5
2014-08-31,0,0,0,0,43.7,49.1,37.4
2014-09-01,0,0,0,0,43.2,54.3,34.9
2014-09-02,0,0,0,0,49.3,61.5,38.3
2014-09-03,0,0,0,0,52.9,66.4,41.7
2014-09-04,0,0,0,0,45.5,61.5,35.6
2014-09-05,0,0,0,0,40.5,54,32.5
2014-09-06,0,0,0,0,44.1,58.3,34.3
2014-09-07,0,0,0,0,45,58.5,38.8
2014-09-08,0,0,0,0,45,53.2,40.1
2014-09-09,0,0,0,0,40.6,45.9,35.6
2014-09-10,0,0,0,0,38.5,49.8,32.4
2014-09-11,0,0,0,0,41.7,55,27.9
2014-09-12,0,0,0,0,39.6,53.1,27.7
2014-09-13,0,0,0,0,44.2,56.5,34.3
2014-09-14,0,0,0,0,45.7,55.9,38.1
2014-09-15,0,0,0,0,45.3,59.7,36.1
2014-09-16,0,0,0,0,46.6,60.1,38.1
2014-09-17,0,0,0,0,47.5,63.1,38.1
2014-09-18,0,0,0,0,50.2,65.3,38.3
2014-09-19,0,0,0,0,48.4,62.6,39
2014-09-20,0,0,0,0,46,62.1,37
2014-09-21,0,0,0,0,43.5,52.9,36.3
2014-09-22,0,0,0,0,42.3,50.7,37.9
2014-09-23,0,0,0,0,42.8,51.1,36.3
2014-09-24,0,0,0,0,45.5,61.2,34.2
2014-09-25,0,0,0,0,48.4,66,38.5
2014-09-26,0,0,0,0,48.9,63.5,40.1
2014-09-27,0,0,0,0,48.2,62.8,39.4
2014-09-28,0,0,0,0,42.8,52.9,35.1
2014-09-29,0,0,0,0,33.4,47.5,25.3
2014-09-30,0,0,0,0,29.1,34.7,25.7
2014-10-01,0,0,0,0,28.2,38.7,21
2014-10-02,0.1,0.1,1,1,25.7,34.5,19
2014-10-03,0,-0.1,0,-1,30.4,39.4,23.4
2014-10-04,0,0,0,0,34.7,46,26.4
2014-10-05,0,0,0,0,35.1,46,28.4
2014-10-06,0,0,0,0,38.1,48.9,31.5
2014-10-07,0,0,0,0,39.2,52.7,29.7
2014-10-08,0,0,0,0,41,55.2,31.8
2014-10-09,0,0,0,0,33.1,39,29.3
2014-10-10,0,0,0,0,31.6,37,28.4
2014-10-11,0,0,0,0,34.5,44.2,27.7
2014-10-12,0,0,0,0,25.5,34.3,20.1
2014-10-13,0.5,0.5,5,5,22.3,29.3,19
2014-10-14,0.6,0.1,5,0,35.1,51.3,21.4
2014-10-15,0.6,0,3,-2,43.9,55.9,32.7
2014-10-16,0.6,0,2,-1,40.1,51.4,31.8
2014-10-17,0.6,0,2,0,38.8,52,30.9
2014-10-18,0.6,0,2,0,36.7,48.2,29.8
2014-10-19,0.6,0,2,0,36.7,48.4,29.7
2014-10-20,0.6,0,2,0,37.4,49.8,29.5
2014-10-21,0.6,0,1,-1,36,46.8,29.3
2014-10-22,0.8,0.2,3,2,32.2,40.6,28.8
2014-10-23,0.8,0,3,0,36.9,48.9,28.2
2014-10-24,0.8,0,3,0,42.6,55,36.3
2014-10-25,0.8,0,3,0,42.1,58.3,31.6
2014-10-26,0.8,0,2,-1,39.9,49.5,31.8
2014-10-27,0.8,0,2,0,21.2,33.1,12.4
2014-10-28,0.9,0.1,5,3,25.7,38.1,16.2
2014-10-29,0.9,0,4,-1,32,43.2,23.2
2014-10-30,0.9,0,4,0,32.2,43.2,27
2014-10-31,0.9,0,4,0,38.5,51.1,27.9
2014-11-01,1,0.1,3,-1,38.3,48.6,30.4
2014-11-02,1,0,3,0,30.2,37,20.8
2014-11-03,1,0,3,0,19.8,26.6,12.7
2014-11-04,1.2,0.2,4,1,20.7,34.3,7.5
2014-11-05,1.2,0,5,1,28.4,43.2,21
2014-11-06,1.3,0.1,5,0,34.9,48,25.3
2014-11-07,1.3,0,5,0,32.7,38.8,27.3
2014-11-08,1.4,0.1,5,0,32,44.2,21.6
2014-11-09,1.4,0,5,0,36,44.4,30
2014-11-10,1.4,0,5,0,21.6,33.4,9.1
2014-11-11,1.7,0.3,10,5,16.3,23.5,7.3
2014-11-12,1.8,0.1,10,0,11.8,20.5,4.3
2014-11-13,2.1,0.3,14,4,13.5,19.9,1.8
2014-11-14,2.6,0.5,16,2,19.2,24.4,15.4
2014-11-15,2.7,0.1,15,-1,12,20.1,0.1
2014-11-16,3.2,0.5,22,7,-1.8,4.6,-9
2014-11-17,3.3,0.1,19,-3,2.3,9.9,-2.2
2014-11-18,3.3,0,18,-1,10.9,16.7,3.7
2014-11-19,3.3,0,17,-1,18.9,26.2,11.8
2014-11-20,3.3,0,16,-1,21.4,28.4,12.7
2014-11-21,3.3,0,16,0,18,27.3,10.8
2014-11-22,3.4,0.1,15,-1,23,31.8,16.3
2014-11-23,3.6,0.2,18,3,8.6,16.3,1.8
2014-11-24,4.1,0.5,23,5,4.6,10,2.3
2014-11-25,4.5,0.4,25,2,12,20.7,1.2
2014-11-26,5.1,0.6,29,4,22.3,26.2,18.9
2014-11-27,5.4,0.3,28,-1,27.5,34,20.1
2014-11-28,5.4,0,25,-3,30.9,38.8,25.3
2014-11-29,5.4,0,24,-1,25.7,34.3,19
2014-11-30,5.4,0,23,-1,24.8,30.9,19.2
2014-12-01,5.4,0,23,0,21.2,27.5,18
2014-12-02,5.4,0,23,0,24.4,32.4,15.1
2014-12-03,5.4,0,22,-1,25.7,36.5,19.8
2014-12-04,5.4,0,22,0,26.6,32.5,22.5
2014-12-05,5.4,0,22,0,21.7,30.6,14.9
2014-12-06,5.4,0,21,-1,25.3,33.3,17.6
2014-12-07,5.4,0,21,0,21.7,29.1,15.4
2014-12-08,5.4,0,21,0,25.3,37.4,18
2014-12-09,5.4,0,21,0,27.9,38.1,21.6
2014-12-10,5.4,0,21,0,25,36.3,20.3
2014-12-11,5.5,0.1,21,0,26.6,36,21.2
2014-12-12,5.5,0,21,0,31.8,43.2,23
2014-12-13,5.5,0,21,0,27.7,37,21
2014-12-14,5.5,0,21,0,16.2,21.2,9.5
2014-12-15,5.9,0.4,27,6,7.7,12.4,3.7
2014-12-16,6,0.1,27,0,19.6,30.2,8.1
2014-12-17,6,0,26,-1,16.9,25.2,11.8
2014-12-18,6.1,0.1,26,0,11.5,21.2,5
2014-12-19,6.1,0,26,0,10.4,15.8,4.1
2014-12-20,6.1,0,26,0,16.7,24.1,13.6
2014-12-21,6.2,0.1,26,0,18,21.4,12.9
2014-12-22,7.3,1.1,36,10,9.1,14,2.5
2014-12-23,8.4,1.1,48,12,1.4,6.3,-1.7
2014-12-24,8.5,0.1,44,-4,12.4,23.4,-1.1
2014-12-25,8.5,0,41,-3,13.8,23.7,0.3
2014-12-26,8.7,0.2,42,1,-0.8,8.6,-7.8
2014-12-27,8.8,0.1,41,-1,-3.3,3.7,-9.6
2014-12-28,8.8,0,40,-1,5,10,1.2
2014-12-29,9.1,0.3,41,1,-3.6,5.4,-13.4
2014-12-30,9.2,0.1,41,0,-7.8,-0.4,-14.4
2014-12-31,9.2,0,40,-1,4.6,15.1,-5.3
2015-01-01,9.3,0.1,39,-1,6.3,15.3,-1.1
2015-01-02,9.3,0,39,0,7.5,17.6,-1.7
2015-01-03,9.3,0,38,-1,9.3,18,0.1
2015-01-04,9.5,0.2,43,5,10,14.9,-0.8
2015-01-05,9.6,0.1,41,-2,24.1,30,14.2
2015-01-06,9.7,0.1,40,-1,26.8,31.6,24.3
2015-01-07,9.7,0,39,-1,26.2,33.8,21.4
2015-01-08,9.7,0,38,-1,27.3,34.5,19.9
2015-01-09,9.7,0,38,0,22.5,30.2,16.9
2015-01-10,9.7,0,38,0,23,29.7,17.2
2015-01-11,9.7,0,37,-1,20.8,27.1,14.9
2015-01-12,9.9,0.2,42,5,14.7,23.4,9.1
2015-01-13,9.9,0,41,-1,16.9,23.4,8.1
2015-01-14,9.9,0,40,-1,12.7,23.5,7
2015-01-15,9.9,0,39,-1,18.9,29.8,8.8
2015-01-16,9.9,0,39,0,24.3,32.7,13.5
2015-01-17,9.9,0,38,-1,15.6,23.4,7.9
2015-01-18,10,0.1,39,1,24.6,31.6,19
2015-01-19,10.1,0.1,39,0,22.5,28.4,15.4
2015-01-20,10.4,0.3,44,5,11.3,19.6,4.6
2015-01-21,10.5,0.1,45,1,4.3,13.5,-10.5
2015-01-22,10.5,0,45,0,1.2,12.6,-9.6
2015-01-23,10.5,0,44,-1,15.1,24.3,6.3
2015-01-24,10.5,0,42,-2,19,26.6,9.5
2015-01-25,10.6,0.1,42,0,23.5,31.6,19
2015-01-26,10.7,0.1,42,0,30.2,42.8,23.5
2015-01-27,10.7,0,41,-1,30,45,22.3
2015-01-28,10.7,0,41,0,22.1,26.4,18.3
2015-01-29,10.7,0,40,-1,21.2,30.9,14.9
2015-01-30,10.7,0,40,0,22.5,29.8,16.9
2015-01-31,10.9,0.2,42,2,19.9,28.8,8.4
2015-02-01,11,0.1,43,1,9.5,15.3,3.7
2015-02-02,11,0,42,-1,17.6,23.7,14.2
2015-02-03,11.2,0.2,44,2,22.6,28.8,19
2015-02-04,11.3,0.1,45,1,22.6,27.5,19.6
2015-02-05,12.1,0.8,53,8,25,32.7,16.3
2015-02-06,12.1,0,51,-2,32.4,41,26.4
2015-02-07,12.1,0,49,-2,30,40.5,19
2015-02-08,12.1,0,48,-1,27.3,39.2,18.7
2015-02-09,12.1,0,47,-1,29.8,41.4,20.8
2015-02-10,12.1,0,47,0,23.4,29.8,17.4
2015-02-11,12.2,0.1,47,0,18,29.1,12.2
2015-02-12,12.2,0,48,1,23.4,31.8,16
2015-02-13,12.2,0,47,-1,26.2,37.4,19.6
2015-02-14,12.2,0,46,-1,30.6,44.1,21.7
2015-02-15,12.3,0.1,45,-1,21.6,30.7,8.6
2015-02-16,12.4,0.1,50,5,6.6,12.2,1.6
2015-02-17,12.7,0.3,52,2,6.1,12.9,0.7
2015-02-18,12.8,0.1,51,-1,16.9,29.8,7.9
2015-02-19,12.9,0.1,50,-1,24.8,35.2,15.4
2015-02-20,12.9,0,49,-1,16.9,27.1,10.4
2015-02-21,13.2,0.3,54,5,9.1,19.6,-3.3
2015-02-22,13.4,0.2,55,1,-0.6,12,-11.2
2015-02-23,13.6,0.2,55,0,15.4,30.2,4.1
2015-02-24,13.6,0,53,-2,14.4,32.2,2.8
2015-02-25,13.6,0,52,-1,13.3,23.9,-0.2
2015-02-26,14.1,0.5,59,7,3.2,15.8,-6
2015-02-27,14.2,0.1,58,-1,7,19.6,-1.1
2015-02-28,14.3,0.1,57,-1,10.4,23.7,-2.6
2015-03-01,14.5,0.2,58,1,18,24.6,12.4
2015-03-02,14.7,0.2,59,1,25,34.2,12.6
2015-03-03,14.9,0.2,60,1,12.2,20.3,3.6
2015-03-04,15.1,0.2,62,2,0.1,8.1,-6.3
2015-03-05,15.1,0,61,-1,9.9,22.3,-2.6
2015-03-06,15.2,0.1,59,-2,18.9,34,9.5
2015-03-07,15.2,0,58,-1,24.3,40.8,12.2
2015-03-08,15.2,0,57,-1,21.2,34.5,12.7
2015-03-09,15.2,0,57,0,19.9,33.8,10.2
2015-03-10,15.2,0,57,0,23.2,39.6,12.6
2015-03-11,15.2,0,56,-1,27.7,42.8,13.6
2015-03-12,15.2,0,55,-1,28,40.8,21.7
2015-03-13,15.2,0,55,0,23.4,33.3,12.6
2015-03-14,15.5,0.3,58,3,27.5,44.8,10.8
2015-03-15,15.5,0,58,0,38.3,58.5,23.5
2015-03-16,15.5,0,56,-2,37.8,51.4,26.8
2015-03-17,15.5,0,56,0,36.9,54,26.4
2015-03-18,15.5,0,54,-2,32.5,41.9,24.6
2015-03-19,15.5,0,54,0,24.1,35.6,13.1
2015-03-20,15.5,0,54,0,26.4,46,13.6
2015-03-21,15.5,0,54,0,29.7,46.2,18
2015-03-22,15.5,0,54,0,31.5,44.1,24.3
2015-03-23,15.5,0,53,-1,29.1,42.4,19.6
2015-03-24,15.8,0.3,57,4,21.7,31.8,11.8
2015-03-25,16,0.2,59,2,16.9,24.4,11.3
2015-03-26,16.3,0.3,62,3,23,34.5,11.3
2015-03-27,16.3,0,60,-2,30.6,43.7,22.1
2015-03-28,16.4,0.1,58,-2,36.7,50,28
2015-03-29,16.4,0,57,-1,33.1,47.3,20.7
2015-03-30,16.4,0,56,-1,34.2,47.8,24.3
2015-03-31,16.4,0,55,-1,36.9,51.3,24.1
2015-04-01,16.4,0,54,-1,31.6,42.6,20.7
2015-04-02,16.4,0,54,0,23.2,36.1,11.3
2015-04-03,16.6,0.2,57,3,16,29.3,7.3
2015-04-04,16.7,0.1,56,-1,27.1,42.8,9.5
2015-04-05,16.8,0.1,55,-1,33.1,46.2,20.1
2015-04-06,16.8,0,54,-1,34,47.7,20.8
2015-04-07,16.9,0.1,54,0,31.5,46.2,17.6
2015-04-08,17,0.1,53,-1,27.7,42.6,13.5
2015-04-09,17,0,53,0,23,36.3,13.5
2015-04-10,17.2,0.2,54,1,27.1,43.5,15.1
2015-04-11,17.2,0,54,0,31.6,47.1,19.4
2015-04-12,17.2,0,53,-1,28.4,40.5,19
2015-04-13,17.2,0,53,0,32.4,48.6,19.8
2015-04-14,17.2,0,53,0,36.7,53.2,23.5
2015-04-15,17.2,0,51,-2,26.4,39.2,15.8
2015-04-16,17.2,0,52,1,20.5,32.5,17.1
